"Sun Dec 17 16:07:29 +0000 2023","1736417844873904382","Gibran Terlihat Panik dan buru -buru meletakan Microphone saat pertanyaan Apakah masyarakat di libatkan dalam perencanaan IKN https://t.co/Hlidg1NwrX","49","183","358","744","in","1456283686312103939","1736417844873904382","Yurissa_Samosir","https://twitter.com/Yurissa_Samosir/status/1736417844873904382","https://pbs.twimg.com/ext_tw_video_thumb/1736417807641010176/pu/img/vbOiLxVJsId1EODN.jpg","","22356"
"Sun Dec 17 23:07:34 +0000 2023","1736523560431272446","Dugaan Pelanggaran Kampanye Gibran Seret Uya Kuya  Eko Patrio  dan Pasha Ungu https://t.co/lz3n0P9PbH #TempoMetro","27","198","363","1069","in","18129942","1736523560431272446","tempodotco","https://twitter.com/tempodotco/status/1736523560431272446","","Indonesia","2215016"
"Sun Dec 17 20:54:32 +0000 2023","1736490083396804633","Dari pada lawan kotak kosong. Maka PDI-P. Menyediakan lawan bayangan calon wali kota Solo utk lawan @gibran_tweet 👇 https://t.co/2oxJzximLW","1","1","8","9","in","1035525622930395136","1736490083396804633","CindyBexter","https://twitter.com/CindyBexter/status/1736490083396804633","https://pbs.twimg.com/ext_tw_video_thumb/1736490053118119936/pu/img/gjB4aKmVXvcnX6K7.jpg","Moscow, ID","8258"
"Sun Dec 17 19:27:51 +0000 2023","1736468265927668015","Gak bisa bahasa sunda  tapi ngerti artinya.  #prabowo #dedimulyadi #prabowosubianto #gibran #prabowogibran https://t.co/seIQmdR5wo","0","1","3","10","in","1272038588721410048","1736468265927668015","prabowogibran02","https://twitter.com/prabowogibran02/status/1736468265927668015","https://pbs.twimg.com/amplify_video_thumb/1736468180883959808/img/-9-SYdCu4FKvgAI1.jpg","Indonesia","171337"
"Sun Dec 17 23:32:00 +0000 2023","1736529708664476127","Prabowo Siapkan Gibran dan AHY Jadi Pemimpin di Masa Depan https://t.co/NHn1vquu0C","120","672","601","848","in","17128975","1736529708664476127","CNNIndonesia","https://twitter.com/CNNIndonesia/status/1736529708664476127","","","4044984"
"Sun Dec 17 21:23:40 +0000 2023","1736497413563847034","Cantik cerdas mampu menjwb dg taktis Yakin deh ijasahny psti asli g prlu diragukn lg Gosah dibandingin dg Samsul takut kalah Btw andai aja ada debat anak capres dg anak presiden mungkin ada Alam Tia n Gibran bakal seru keknya Tp Jan smpe lewat jam 9mlm trus boleh bawa contekan😉 https://t.co/o8dwAC0ajT","8","11","94","276","in","1428002673815482369","1736497413563847034","AiraNtieReal","https://twitter.com/AiraNtieReal/status/1736497413563847034","https://pbs.twimg.com/ext_tw_video_thumb/1736496148997931008/pu/img/TU3kKOCMq2w8iK2R.jpg","di hatimu yank👩‍❤️‍👨💍","4645"
"Sun Dec 17 23:40:27 +0000 2023","1736531834107036078","Timses Prabowo Gibran tampaknya menginstruksikan agar Gibran tidak lagi pidato dan diskusi menggunakan microphone  agar tak terdengar oleh netizen.  Dengan tidak memilih Gibran  kamu telah menyelamatkan NKRI dari kehancuran total karena dipimpim pemimpin yg tdk kredibel. https://t.co/WCCIoZaGiq","0","8","24","48","in","1719885887662874624","1736531834107036078","anneserlo","https://twitter.com/anneserlo/status/1736531834107036078","https://pbs.twimg.com/ext_tw_video_thumb/1736531682625507328/pu/img/v8wPxz3G-xIFgyYk.jpg","","2741"
"Sun Dec 17 21:25:19 +0000 2023","1736497827646513523","Pilpres 2024 adalah bukti bahwa gerbong Prabowo-Gibran  harganya sama atau lebih tinggi dari Konstitusi kita yang sudah babak belur diperkosa mereka.","1","1","7","22","in","1724091394925711360","1736497827646513523","peluruTTK","https://twitter.com/peluruTTK/status/1736497827646513523","","","50"
"Sun Dec 17 23:15:12 +0000 2023","1736525481854591203","Solo bukan Gibran.... Solo jelas Ganjar...","0","0","2","13","in","1296312516901916672","1736525481854591203","Bambangmulyonoo","https://twitter.com/Bambangmulyonoo/status/1736525481854591203","","","6764"
"Sun Dec 17 17:58:24 +0000 2023","1736445754003304729","Ada gerakan kecil di Jogja   kelompok yg sangat takut dgn kemenangan Prabowo - Gibran di DIY. Bulan lalu kami bilang akan ada gerakan dr kaum PENAKUT berangkat dr Jogja . Santaai ajaa ! Prabowo-Gibran Well ! Amien Rais mana ? Kok gak nongol ☺️ https://t.co/Hsob3gc8XY","1","4","7","14","in","1305716791","1736445754003304729","rajatikam_YK1","https://twitter.com/rajatikam_YK1/status/1736445754003304729","https://pbs.twimg.com/media/GBkYNQgakAAIXQD.jpg","Yogyakarta, Indonesia","290"
