"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location","followers_count"
"Tue Dec 05 16:22:29 +0000 2023","1732072961665126749","For the next presiden after 2024  its mean 2029. andaikata yg menang adalah Anies.  Pasti bakal preparing sematang mungkin. Dari segi Intelektual  Integritas  Kapabilitas dll. Makanya bagi kaum terdidik  Anies adalah harapan. Musuh anies adalah yg lebih ‘cakap’ dari Anies.","0","0","0","2","in","1157316447271473154","1732072961665126749","KhabibullahAli","https://twitter.com/KhabibullahAli/status/1732072961665126749","","","121"
"Tue Dec 05 17:07:08 +0000 2023","1732084200478785734","disclaimer: ini bukan nge-buzzer atau lagi kampanye  cuma curhatan hati aja  entah kenapa gue sangat senang dan optimis dengan indonesia tiap liat anies lagi dialog dengan orang-orang yang jarang didengar.  jawaban2 yang anies kasih mayoritas sejalan sama pendapat2 ahli di ilmuny","0","1","0","3","in","792727224327692288","1732084200478785734","bocilturner","https://twitter.com/bocilturner/status/1732084200478785734","","🥀","157"
"Tue Dec 05 16:08:12 +0000 2023","1732069370808144227","@LANGKAHANIES @aniesbaswedan Ya Allah kabulkanlah doa kami harapan kami untu menjadikan pak Anies baswedan memimpin negri ini.Amin.","0","0","3","18","in","178371946","1732012360942952781","Bang_rebo","https://twitter.com/Bang_rebo/status/1732069370808144227","","ina","64"
"Tue Dec 05 15:40:14 +0000 2023","1732062331319025901","@tvOneNews DR Anies Rasyid Baswedan gak pernah minta lu milih dia  yg dia minta jangan lu pada nyebar hoax dan fitnah... Paham lu tolol !! Mau Lu pilih bocah plongo  mau lu pilih jompo tulalit  mau lu pilih doyan ngebokep  mau lu pilih yg paling munafik opportunis  pak Anies bilang silahkan","0","4","3","43","in","987307546393296896","1731944199086567626","pd_arief","https://twitter.com/pd_arief/status/1732062331319025901","","West Sumatra, Indonesia","67"
"Tue Dec 05 23:11:45 +0000 2023","1732175956926943454","@6ang_Razin @AwakBlangDalam @aniesbaswedan Alhamdulillah pak Anies ❤️","0","0","1","1","in","1085553759856381952","1731993636836126930","Faqih36935725","https://twitter.com/Faqih36935725/status/1732175956926943454","","","40"
"Tue Dec 05 22:47:08 +0000 2023","1732169762770432428","@geloraco Menteri yg ditugasin nyari investor ga dapet"  jualan IKN  kaga laku lalu meng kambing hitamkan Anies bahlul udah jualan IKN Dr sejak jaman majapahit lah Anies br tegas" me wacanakan meng-ninjau ulang IKN itu br kemaren sore eh nyalahin Anies ...kerja kaga bener eh nyalahin org","0","1","3","45","in","1676837343612002304","1732074232207556617","Budi83236750515","https://twitter.com/Budi83236750515/status/1732169762770432428","","","102"
"Tue Dec 05 16:57:56 +0000 2023","1732081882689568987","-  Anies: IKN untuk Aparat Bukan Rakyat -  Genosida di Bawah Langit Gaza  Saksikan Apa Kabar Indonesia Pagi pukul 06.30 WIB hanya di tvOne &amp; live streaming di https://t.co/7Gr3a5LusQ #AKIPagitvOne #CariBeritaditvOne #PromoFTA https://t.co/wDnW0DTp9g","0","0","1","5","in","55507370","1732081882689568987","tvOneNews","https://twitter.com/tvOneNews/status/1732081882689568987","https://pbs.twimg.com/media/GAmXSiYaMAARKYV.jpg","Pulo Gadung, Indonesia","9846234"
"Tue Dec 05 15:56:05 +0000 2023","1732066321649815647","@sudjati Apakah ada teguran langsung Bawaslu kepada Gibran seperti waktu Bawaslu tegur Anies...?","0","3","7","127","in","80559922","1731997671597232273","ferizandra","https://twitter.com/ferizandra/status/1732066321649815647","","In her dream...","13303"
"Tue Dec 05 23:30:10 +0000 2023","1732180592996020592","slmt pagi smg hari ini membawa rezeki utk bekal kita kehidupan di dunia fana dan di akhirat nant.  ~ Dehilma 🙇🏼‍♀  Marapi banjir hujan Jakarta u17 bcl raffi pdip megawati kiki chindo RS boikot gempa rohingya hamas gemoy jokowi prabowo palestin anies ganjar Gibran israel Gaza https://t.co/gQ9XEtsLM9","0","0","1","3","in","1317084070468177920","1732180592996020592","NurilHiLma2022","https://twitter.com/NurilHiLma2022/status/1732180592996020592","https://pbs.twimg.com/media/GAnxD6ya4AARk6D.jpg","","526"
"Tue Dec 05 17:47:49 +0000 2023","1732094440196784190","@BosPurwa @KopiHitamLah Anies itu anugerah utk Bangsa Indonesia. Maka jangan di sia² kan.","0","1","1","21","in","1555338228","1732001048448147456","ategeo","https://twitter.com/ategeo/status/1732094440196784190","","Jakarta Capital Region","1228"
