"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location","followers_count"
"Tue Dec 12 23:22:19 +0000 2023","1734715334832316536","@Fahrihamzah gak sabar nunggu giliran gibran ditanya calon laen " Gimana perasaan dek gibran sebagai calon yg dihasilkan dari pelanggaran kode etik berat   apakh menurut nak gibran itu baik untuk sebuah bangsa kedepannya "...  ( Nangiss lari minta tolong emaknya ) 🤣","0","2","0","11","in","1603569420642574336","1734622164173602936","mahandi22","https://twitter.com/mahandi22/status/1734715334832316536","","DKI Jakarta, Indonesia","238"
"Tue Dec 12 21:57:59 +0000 2023","1734694109762502928","@idextratime @bliblidotcom 1. Anies-Imin 2. Prabowo-Gibran 3. Ganjar-Mahfud 4. Emyu","0","0","0","11","in","1508524706390941699","1734693850122436871","Fratatatata","https://twitter.com/Fratatatata/status/1734694109762502928","","Between Mars and Venus","45"
"Tue Dec 12 22:28:43 +0000 2023","1734701843136045319","@AntonioJef90818 @Ryan_Fighter7 @gibran_tweet Berdebat sama pendukung wowo yg udah di minum asam sulfat memang ngeselin mereka mau jual harga diri demi cuan akibatnya linglung","0","0","1","1","in","1320834394127384577","1734606051239182463","feri_ulakan","https://twitter.com/feri_ulakan/status/1734701843136045319","","indonesia","40"
"Tue Dec 12 22:45:54 +0000 2023","1734706168654709235","@Siantar72 @Gerindra @officialMKRI @gibran_tweet @jokowi Masyarakat awam aja tau kok bang   yg lain pura pura ga tau   Krn berkepentingan bang","0","1","0","2","in","1422133217977454593","1734705137170481340","feroferraferri","https://twitter.com/feroferraferri/status/1734706168654709235","","","5958"
"Tue Dec 12 23:35:57 +0000 2023","1734718764686664168","1. Anies-Imin 2. Prabowo-Gibran 3. Ganjar-Mahfud 4. Manchester United (4 poin)","0","0","0","2","in","1170153265444442113","1734718764686664168","gilabola_ina","https://twitter.com/gilabola_ina/status/1734718764686664168","","","13955"
"Tue Dec 12 22:54:58 +0000 2023","1734708450087567465","@sasbudiarjo @anismatta @gibran_tweet Istrinya dia 2  butuh lebih banyak pemasukan 😅😅","0","0","0","2","in","1253101419005014017","1734570386602459218","de_jardani","https://twitter.com/de_jardani/status/1734708450087567465","","","18"
"Tue Dec 12 22:55:38 +0000 2023","1734708616710476114","Harusnya Uban sadar bahwa dulu elektabilitasnya tinggi adalah elektabilitas SEMU karena dulu rakyat pikir Pak Jokowi dukung Uban  setelah fix Gibran jd cawapres prabowo lgs deh bedol desa pendukung jokowi pindah ke Prabowo krn pada dasarnya Uban ga punya pendukung","0","0","0","1","in","19744612","1734708616710476114","AndyTjondro","https://twitter.com/AndyTjondro/status/1734708616710476114","","Jakarta","525"
"Tue Dec 12 23:04:12 +0000 2023","1734710773463523665","@Hasbil_Lbs @prabowo @ganjarpranowo @aniesbaswedan Anda sdang menghibur diri ato sdang menghibur @prabowo dan @gibran_tweet  atau jgn2 sdang menutupi malu @SBYudhoyono dan @AgusYudhoyono ???","0","0","1","14","in","953512446286749696","1734578112363643138","MRisal01871478","https://twitter.com/MRisal01871478/status/1734710773463523665","","","289"
"Tue Dec 12 23:05:28 +0000 2023","1734711094415946173","Menjijikkan melihat tingkah si bocil @gibran_tweet yg pecicilan  sikap childish nya masih terlalu kental sehingga tidak mampu menerima kenyataan di depan matanya. Musibah berulang jika Belimbing sayur ini terpaksa diumumkan jadi Cawapres dan rakyat akan menderita berkepanjangan.","0","0","0","1","in","1692149386426609664","1734711094415946173","tolol_bajingan","https://twitter.com/tolol_bajingan/status/1734711094415946173","","Albania, Colombia","161"
"Tue Dec 12 23:18:44 +0000 2023","1734714430292885914","melihat semangat mas gibran di video ini  kelihatan banget itu darah muda nya meluap2. wah.. ini tanda2 dia akan all out utk debat cawapres nanti.","0","0","0","1","in","1461610807075086339","1734714430292885914","aminajalah123","https://twitter.com/aminajalah123/status/1734714430292885914","","","15"
