"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location","followers_count"
"Sat Dec 02 17:13:04 +0000 2023","1730998529483837750","Janji Anies baswedan: KPK Akan Diisi Orang-orang Berintegritas https://t.co/s5LQzzJdQA","10","44","463","1455","in","55507370","1730998529483837750","tvOneNews","https://twitter.com/tvOneNews/status/1730998529483837750","","Pulo Gadung, Indonesia","9846232"
"Sat Dec 02 18:22:55 +0000 2023","1731016109175030068","Saya mmg diminta jadi jubir Anies &amp; Cak Imin. Tentu saja sy kerjakan. Tapi kita disekolahkan bukan utk jadi org kaya  bukan utk menjadi pejabat. Kita disekolahkan utk Menyuarakan kebenaran. Jgn batasi sy utk bungkam thd kasus MK &amp; KPU yg nyata2 menghinakan akal sehat kita semua.","20","350","1638","6342","in","1297510664148103168","1731016109175030068","GeiszChalifah","https://twitter.com/GeiszChalifah/status/1731016109175030068","","","229502"
"Sat Dec 02 14:50:13 +0000 2023","1730962581811339735","Sambutan Pak Anies Baswedan di Mukernas III MUI 2023   #AMINAjaDulu https://t.co/KGFAts0r3Z","0","4","182","534","in","1334853481019056128","1730962581811339735","Mdy_Asmara1701","https://twitter.com/Mdy_Asmara1701/status/1730962581811339735","https://pbs.twimg.com/ext_tw_video_thumb/1730962443046969344/pu/img/FFnvVDN6BCeNwibg.jpg","Jakarta Capital Region","206967"
"Sat Dec 02 23:04:37 +0000 2023","1731087002014199880","Kata "nabinya"  kata ganti "nya" di kata tersebut  jelas merujuk pada Nabinya Anies Baswedan. Nabi Anies Baswedan  Nabi Muhammad Shollallahu Alaihi Wasalam.  Segamblang itu mau dibela? Jelas-jelas Irene sudah melecehkan Nabi Muhammad dan itu dilike Dodo.  Apa yang dilecehkan?… https://t.co/pQ3yFXjhvF","6","27","170","436","in","1344446501112565761","1731087002014199880","mihrabku","https://twitter.com/mihrabku/status/1731087002014199880","https://pbs.twimg.com/media/GAYNmeUbgAAJH5u.jpg","Indonesia","24615"
"Sat Dec 02 22:23:12 +0000 2023","1731076579227517033","debatin apa pun yang menang sudah pasti pak anies  bukan karena pak anies yang pintar tapi lebih ke dua capres lain yang kelewat goblok untuk berdebat","10","21","112","301","in","349747452","1731076579227517033","ponakannyaom","https://twitter.com/ponakannyaom/status/1731076579227517033","","Eorzea","31814"
"Sat Dec 02 19:19:34 +0000 2023","1731030363965915497","anies baswedan di mata tokoh ulama lombok https://t.co/aljFrUBTdw","2","0","8","16","tl","1722014606712094720","1731030363965915497","herculep638","https://twitter.com/herculep638/status/1731030363965915497","https://pbs.twimg.com/ext_tw_video_thumb/1731030216796188673/pu/img/VG1Ab_bXaHOcEJaJ.jpg","","2240"
"Sat Dec 02 14:19:16 +0000 2023","1730954789884920015","Setelah teman-teman menyimak video ini  gue berharap teman-teman generasi muda sudah bisa ambil keputusan yes   Pak Anies Baswedan dicecar berbagai pertanyaan di Conference on Indonesian Foreign Policy 2023   #AMINAjaDulu  #AniesMuhaimin2024 No 1  #SalamAd1lMakmur https://t.co/dSKPiTkGhw","19","26","545","981","in","1334853481019056128","1730954789884920015","Mdy_Asmara1701","https://twitter.com/Mdy_Asmara1701/status/1730954789884920015","https://pbs.twimg.com/ext_tw_video_thumb/1730953954341867520/pu/img/wiDHCxug-uo8MIk7.jpg","Jakarta Capital Region","206967"
"Sat Dec 02 15:44:32 +0000 2023","1730976248770466263","ini Tanggapan Anies tentang perubahan format Debat  dimana KPU tdk mengikutkan Cawapres utk Debat  cukup Capres saja yg debat https://t.co/qRsxvBapqA","0","0","2","5","in","1319838372","1730976248770466263","as_siglie","https://twitter.com/as_siglie/status/1730976248770466263","https://pbs.twimg.com/ext_tw_video_thumb/1730975986165129216/pu/img/1pgG6zGmqa-nJRyH.jpg","Indonesia","5022"
"Sat Dec 02 18:10:00 +0000 2023","1731012856567709858","Masyaa Allah... Wawasan  ke Ilmuan dan kecerdasan Anies Baswedan bukan kaleng-kalengan. https://t.co/V60rjdsga0","0","0","2","4","in","1319838372","1731012856567709858","as_siglie","https://twitter.com/as_siglie/status/1731012856567709858","https://pbs.twimg.com/ext_tw_video_thumb/1731011955446648832/pu/img/UqkQJT63_jVd5QV1.jpg","Indonesia","5022"
"Sat Dec 02 23:25:48 +0000 2023","1731092329019351109","Pak @aniesbaswedan berkunjung ke Nelayan Kronjo Tangerang  Banten  Anies Janji Perbaiki Tata Niaga Perikanan  #AMINAjaDulu  #AniesMuhaimin2024  #SalamAd1lMakmur https://t.co/7FFU2euM5c","6","11","209","533","in","1334853481019056128","1731092329019351109","Mdy_Asmara1701","https://twitter.com/Mdy_Asmara1701/status/1731092329019351109","https://pbs.twimg.com/ext_tw_video_thumb/1731092183649034240/pu/img/haxVCiDsxGUAtck-.jpg","Jakarta Capital Region","206967"
"Sat Dec 02 14:17:23 +0000 2023","1730954315467194372","TERJADI DI SUMBAR  !!!!  LUMBUNG SUARA ANIES   TIM PRABAWO beserta  direksi PLN bahkan MENTRI utk cari suara? Makin memuakkan nih...?  #AMINkanSUMBAR https://t.co/SkFhOIe0UB","9","31","60","92","in","1722218525522300928","1730954315467194372","PutraMelay6837","https://twitter.com/PutraMelay6837/status/1730954315467194372","https://pbs.twimg.com/ext_tw_video_thumb/1730953960608169984/pu/img/U-JU9AEno2T2dPID.jpg","Riau, Indonesia","733"
"Sat Dec 02 15:05:26 +0000 2023","1730966409323380829","TAKDIR ITU MILIK ALLAH TAPI DOA DAN USAHA ITU MILIK KITA! 2024 ANIES PRESIDEN!! #KrisyantoYenOni #AniesBaswedanOrangBaik #AniesMuhaimin2024 #AMINSatukanIndonesia #AMIN #ZEROBASEONE https://t.co/3wSUq28DRr","9","24","297","806","in","1283848995962417152","1730966409323380829","KrisyantoOni","https://twitter.com/KrisyantoOni/status/1730966409323380829","https://pbs.twimg.com/ext_tw_video_thumb/1730966367384535040/pu/img/T7UOruY2LOVOkF_Q.jpg","","13031"
"Sat Dec 02 15:14:20 +0000 2023","1730968648033153297","Menyimak pak Anies itu...mencerdaskan.. ✅️👍  AMIN aja dulu☝️1️⃣🇮🇩 https://t.co/cPH1b3H95z","1","3","38","62","in","1052339653","1730968648033153297","siregar_najeges","https://twitter.com/siregar_najeges/status/1730968648033153297","https://pbs.twimg.com/ext_tw_video_thumb/1730967930597466112/pu/img/TBTIVZp2-gEDUfjb.jpg","Indonesia🇮🇩","15594"
"Sat Dec 02 15:40:37 +0000 2023","1730975262064660771","RILEX DULU SEJENAK  YUUUKK...KITA DENGARKAN LAGU ANIES PRESIDENKU 2024 UNTUK INDONESIA KU https://t.co/876E6532tz","0","0","5","14","in","1667233216091279363","1730975262064660771","Andria75777","https://twitter.com/Andria75777/status/1730975262064660771","https://pbs.twimg.com/ext_tw_video_thumb/1730975043289808896/pu/img/oAZZK-L4ekB_z6_x.jpg","Jabodetabek, Indonesia","4092"
"Sat Dec 02 17:45:24 +0000 2023","1731006667998081205","yang seharusnya tidak perlu ada itu debat capres karena kita semua tau kalau capres debat itu yang menang sudah pasti anies","4","9","61","212","in","349747452","1731006667998081205","ponakannyaom","https://twitter.com/ponakannyaom/status/1731006667998081205","","Eorzea","31814"
"Sat Dec 02 22:22:16 +0000 2023","1731076343063028154","Di balik kehebatan seorang Anies Baswedan  ada wanita luar biasa yang menjadi kekuatan di balik layar.   Benar-benar couple goals ya. https://t.co/OQSWgld7YR","2","0","29","49","in","1641093904236969992","1731076343063028154","AbdulRachimmks","https://twitter.com/AbdulRachimmks/status/1731076343063028154","https://pbs.twimg.com/ext_tw_video_thumb/1731076285173227520/pu/img/eJQpVaPKHAEb8uLO.jpg","Kota Makassar, Sulawesi Selata","4732"
"Sat Dec 02 18:06:09 +0000 2023","1731011890091085920","Subhanallah Masya Allah PAK ANIES Benar2 Menggetarkan Menggoncang DUNIA Bro Ini Momen para DUTA BESAR Negara DUNIA  Rebutan Selfie dgn Pak ANIES di CIFP FORUM👍 Pak ANIES Pemimpin yg AMANAH JUJUR CERDAS &amp; SMART👍 Bikin Indonesia DISEGANI DUNIA Bro PAK ANIES Jan JOS Tenan Bro👍👍 https://t.co/7NNRzQJRi7","1","5","29","49","in","1685182301800656896","1731011890091085920","Azri_Ardhani","https://twitter.com/Azri_Ardhani/status/1731011890091085920","https://pbs.twimg.com/ext_tw_video_thumb/1731011785778712576/pu/img/alP6Szo8YyFdLU5L.jpg","","543"
"Sat Dec 02 14:47:42 +0000 2023","1730961948505002118","Gak perlu kalian layani Twitt para pendukung GEMOY apa lg yg di twitt manusia2 penjilat demi uang..   Cukup post Visi misi Anies &amp; ulang  terus pengkhianatan yg dilakukan GEMOY pd Ulama sampai menjelang pemilu maka sepi mereka dlm postingan nya  Percayalah kalian mrk akan dibuang https://t.co/XQrgG67Vn1","2","3","23","43","in","1729312952573108224","1730961948505002118","Cut_NyakFadilah","https://twitter.com/Cut_NyakFadilah/status/1730961948505002118","https://pbs.twimg.com/ext_tw_video_thumb/1730961783400321024/pu/img/8zcL9B4S25oARDgZ.jpg","Deli Serdang, Sumatera Utara","2363"
