"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location","followers_count"
"Mon Dec 04 23:06:09 +0000 2023","1731812162811920720","Sekali Kampanye  Gibran Terhitung Blunder 4 Kali https://t.co/SGD1Sst47z","62","109","764","649","in","118646322","1731812162811920720","Bisniscom","https://twitter.com/Bisniscom/status/1731812162811920720","","Jakarta, Indonesia","1143471"
"Mon Dec 04 23:08:02 +0000 2023","1731812633496699246","𝗞𝗮𝗹𝗮𝘂 𝗖𝗮𝗿𝗶 𝗣𝗿𝗲𝘀𝗶𝗱𝗲𝗻 𝗬𝗮𝗻𝗴 𝗣𝗶𝗻𝘁𝗮𝗿 𝗗𝗲𝗯𝗮𝘁  𝗣𝗶𝗹𝗶𝗵 𝗥𝗼𝗰𝗸𝘆 𝗚𝗲𝗿𝘂𝗻𝗴 𝗔𝗷𝗮  Makin kesini PDIP makin ga pede. Dibayarnya buzzer koar²  soal debat capres utk ngolok Gibran ga berani debat.  Kalau mau jujur  ga ada korelasinya antara debat… https://t.co/R3KnsypPn8","54","691","81","437","in","127932614","1731812633496699246","mochamadarip","https://twitter.com/mochamadarip/status/1731812633496699246","https://pbs.twimg.com/media/GAiiaTybQAACLSD.jpg","Jakarta Capital Region, Indone","50575"
"Mon Dec 04 23:47:34 +0000 2023","1731822585577607449","Peneliti BRIN Sebut Makan Siang dan Susu Gratis Prabowo-Gibran Hanya Buang Anggaran https://t.co/riFojlhmcz","42","94","681","763","in","118646322","1731822585577607449","Bisniscom","https://twitter.com/Bisniscom/status/1731822585577607449","","Jakarta, Indonesia","1143471"
"Mon Dec 04 23:53:29 +0000 2023","1731824072365928830","Hanya salah sebut harusnya asam folat  mas gibran juga sdh minta maaf pd saat wawancara.  Tapi terus2an dijadikan bahan cemoohan yg dilakukan oleh gerombolan2 yg haus akan jiwa menghina dan menghujat.","68","1220","32","264","in","1258626853541052421","1731824072365928830","ajengcute16__","https://twitter.com/ajengcute16__/status/1731824072365928830","","Dihati mu 💙","8664"
"Mon Dec 04 23:33:53 +0000 2023","1731819141806575805","Cara-cara untuk mendapatkan suara di Jawa Tengah masih sama saja kayak begini..  Padahal katanya komandan tempur Jawa Tengah adalah Gibran  eh Gibran malah ga keliling Jawa Tengah..  Apa harus Pak Jokowi turun gunung kunjungan kerja ke Jawa Tengah?! 😄😄😄 https://t.co/lEff6PVVcp","6","25","93","208","in","214159664","1731819141806575805","Paltiwest","https://twitter.com/Paltiwest/status/1731819141806575805","https://pbs.twimg.com/ext_tw_video_thumb/1731818913028308992/pu/img/VjuxTPZiKlAmj8lN.jpg","Medan dan Jakarta, Indonesia","74830"
"Mon Dec 04 23:35:36 +0000 2023","1731819574331617442","CEUK AING GE KAANN 😎📈  JABAR PETCAH 🔥  Gelo iue mah  Jabar Tetap Prabowo  urang Sunda pokokna ngadukung @prabowo @gibran_tweet Jabar kandangnya Paslon 02.   Asli merinding euy...liat Prabowo digendong turun panggung oleh ribuan massa pendukungnya 😱 .  ✌😎 https://t.co/3vOhO6QdRW","4","12","71","82","in","196022448","1731819574331617442","XC1R3NG","https://twitter.com/XC1R3NG/status/1731819574331617442","https://pbs.twimg.com/ext_tw_video_thumb/1731819497865224192/pu/img/mKudItdoseuGjzPn.jpg","Bla Bla Bla Bla","10868"
"Mon Dec 04 23:29:04 +0000 2023","1731817928365072574","@gibran_tweet hancurrr...","0","0","1","1","in","1197499578414583808","1731817928365072574","frendygh","https://twitter.com/frendygh/status/1731817928365072574","","Earth","1760"
"Mon Dec 04 23:27:20 +0000 2023","1731817491226382552","PS - Gibran Banyak Duit Tapi Beli Buzzer Kodian   Jaga agar bibir tidak dipakai untuk menghasilkan berita yang mengudang view oleh polemik tak perlu. Itu yang utama dijaga untuk karakter spt Gibran.   Gibran agaknya terpancing oleh komen-komen di sosmed dan media selama ini yang…","9","53","42","191","in","1116041282126618624","1731817491226382552","MinmonPS7","https://twitter.com/MinmonPS7/status/1731817491226382552","","DKI Jakarta, Indonesia.","60246"
"Mon Dec 04 23:34:08 +0000 2023","1731819203072598041","Gibran mengaku baru tahu kalau pernyataannya keliru. Dia pun mengoreksi pernyataannya setelah diberi tahu zat yang sebenarnya dibutuhkan ibu hamil adalah asam folat.  "Mohon maaf  mohon dikoreksi ya. Asam folat  Sorry  sorry ya  maaf. Mohon dikoreksi " kata Gibran. - Heeem😅 https://t.co/CgOfZELBGX","8","38","29","101","in","817600858565197825","1731819203072598041","Muhammad_Saewad","https://twitter.com/Muhammad_Saewad/status/1731819203072598041","https://pbs.twimg.com/media/GAioYx9aEAAsEkH.jpg","Jawa Barat, Indonesia","95773"
"Mon Dec 04 23:15:39 +0000 2023","1731814552231162205","Jd Pendukung Wowo dan Gibran mmg hrs bodoh akut","0","2","2","3","in","112049860","1731814552231162205","syahirularif","https://twitter.com/syahirularif/status/1731814552231162205","","Semarang, Indonesia","3882"
